first_name_0,last_name_0,email_0,gender_0,ip_address_0,first_name_1,last_name_1,email_1,gender_1,ip_address_1
Douglas,Welch,dwelch0@wsj.com,Male,96.160.21.86,Douglas,Welch,dwelch0@wsj.com,Male,96.160.21.86
Douglas,Welch,dwelch0@wsj.com,Male,96.160.21.86,Douglas,Welch,dwelch0@wsj.com,Male,96.160.21.86
Helen,Kennedy,hkennedy1@ftc.gov,Female,161.4.123.80,Helen,Kennedy,hkennedy1@ftc.gov,Female,161.4.123.80
Helen,Kennedy,hkennedy1@ftc.gov,Female,161.4.123.80,Helen,Kennedy,hkennedy1@ftc.gov,Female,161.4.123.80
Sara,Martin,smartin2@tuttocitta.it,Female,229.178.67.191,Sara,Martin,smartin2@tuttocitta.it,Female,229.178.67.191
Sara,Martin,smartin2@tuttocitta.it,Female,229.178.67.191,Sara,Martin,smartin2@tuttocitta.it,Female,229.178.67.191
Mary,Henry,mhenry3@wp.com,Female,174.86.205.84,Mary,Henry,mhenry3@wp.com,Female,174.86.205.84
Mary,Henry,mhenry3@wp.com,Female,174.86.205.84,Mary,Henry,mhenry3@wp.com,Female,174.86.205.84
Charles,Williams,cwilliams4@engadget.com,Male,164.70.35.58,Charles,Williams,cwilliams4@engadget.com,Male,164.70.35.58
Charles,Williams,cwilliams4@engadget.com,Male,164.70.35.58,Charles,Williams,cwilliams4@engadget.com,Male,164.70.35.58
